		 1	 1	  1.05	      0.0 	  0.0	 0.0   	  0.0 	 0.0	 0
		 2	 3	  1.0338	-20.0	21.70	12.7	57.56	  60	 0 
		 3   2    1.0         0.0     2.4    1.2      0.0    0.0     0
		 4   2    1.0         0.0     7.6    1.6      0.0    0.0     0
		 5   3    1.0058    -15.0    94.2   19.0     24.56   62.5    0
         6   2    1.0         0.0     0.0    0.0      0.0    0.0     0
         7   2    1.0         0.0    22.8   10.9      0.0    0.0     0
         8   3    1.023     -15.0    30.0   30.0     35.0   50.0     0
         9   2    1.0         0.0     0.0    0.0      0.0    0.0     0
        10   2    1.0         0.0     5.8    2.0      0.0    0.0     0.19
        11   3    1.0913    -10.0     0.0    0.0     17.93  40.0     0
        12   2    1.0         0      11.2    7.5      0      0       0
        13   3    1.0883    -15.0     0      0.0     16.19  45       0
        14   2    1           0       6.2    1.6      0      0       0
        15   2    1           0       8.2    2.5      0      0       0
        16   2    1           0       3.5    1.8      0      0       0
        17   2    1           0       9.0    5.8      0      0       0
        18   2    1           0       3.2    0.9      0      0       0
        19   2    1           0       9.5    3.4      0      0       0
        20   2    1           0       2.2    0.7      0      0       0
        21   2    1           0      17.5   11.2      0      0       0
        22   2    1           0       0      0.0      0      0       0
        23   2    1           0       3.2    1.6      0      0       0
        24   2    1           0       8.7    6.7      0      0       0.04
        25   2    1           0       0      0.0      0      0       0
        26   2    1           0       3.5    2.3      0      0       0
        27   2    1           0       0      0.0      0      0       0
        28   2    1           0       0      0.0      0      0       0
        29   2    1           0       2.4    0.9      0      0       0
        30   2    1           0      10.6    1.9      0      0       0


  
   999999
		  1   2   0.0192   0.0575   0.02640    1
		  1   3   0.0452   0.1852   0.02040    1
          2   4   0.0570   0.1737   0.01840    1
          3   4   0.0132   0.0379   0.00420    1
          2   5   0.0472   0.1983   0.02090    1
          2   6   0.0581   0.1763   0.01870    1
          4   6   0.0119   0.0414   0.00450    1
          5   7   0.0460   0.1160   0.01020    1
          6   7   0.0267   0.0820   0.00850    1
          6   8   0.0120   0.0420   0.00450    1
          6   9   0.0      0.2080   0.0    1.0155
          6  10   0         .5560   0      0.9629
          9  11   0         .2080   0          1
          9  10   0         .1100   0          1
          4  12   0         .2560   0      1.0129
         12  13   0         .1400   0          1
         12  14    .1231    .2559   0          1
		 12  15    .0662    .1304   0          1
         12  16    .0945    .1987   0          1
         14  15    .2210    .1997   0          1
         16  17    .0824    .1923   0          1
         15  18    .1073    .2185   0          1
         18  19    .0639    .1292   0          1
         19  20    .0340    .0680   0          1
         10  20    .0936    .2090   0          1
         10  17    .0324    .0845   0          1
         10  21    .0348    .0749   0          1
         10  22    .0727    .1499   0          1
         21  22    .0116    .0236   0          1
         15  23    .1000    .2020   0          1
         22  24    .1150    .1790   0          1
         23  24    .1320    .2700   0          1
         24  25    .1885    .3292   0          1
         25  26    .2544    .3800   0          1
         25  27    .1093    .2087   0          1
         28  27     0       .3960   0      0.9581
         27  29    .2198    .4153   0          1
         27  30    .3202    .6027   0          1
         29  30    .2399    .4533   0          1
          8  28    .0636    .2000   0.0214     1
          6  28    .0169    .0599   0.065      1
   
    
   999999
